criterion_variant,set,epoch_tt2000,epoch_utc,source_file,record_index,qualifying_peak_count,max_effective_fwhm_us,saturated_peak_count,tof_mid_replacement_count
replace_saturated_h_width_with_matched_tof_m_min1,outside_70_criteria,827528280928282880,2026-03-23T08:56:51.744282880,imap_idex_l1b_sci-10days_20260321_v016.cdf,13,1,0.0390135327635327,0,0
replace_saturated_h_width_with_matched_tof_m_min1,outside_70_criteria,827547147881359104,2026-03-23T14:11:18.697359104,imap_idex_l1b_sci-10days_20260321_v016.cdf,14,1,0.0347876760920241,0,0
replace_saturated_h_width_with_matched_tof_m_min1,outside_70_criteria,827599262676533120,2026-03-24T04:39:53.492533120,imap_idex_l1b_sci-10days_20260321_v016.cdf,15,1,0.0234615384615382,0,0
replace_saturated_h_width_with_matched_tof_m_min1,outside_70_criteria,827612094895927936,2026-03-24T08:13:45.711927936,imap_idex_l1b_sci-10days_20260321_v016.cdf,16,1,0.0402218934911237,0,0
replace_saturated_h_width_with_matched_tof_m_min1,outside_70_criteria,827782641711986688,2026-03-26T07:36:12.527986688,imap_idex_l1b_sci-10days_20260321_v016.cdf,17,1,0.0339102564102558,0,0
replace_saturated_h_width_with_matched_tof_m_min1,outside_70_criteria,827793370988301184,2026-03-26T10:35:01.804301184,imap_idex_l1b_sci-10days_20260321_v016.cdf,18,1,0.0369822485207109,0,0
replace_saturated_h_width_with_matched_tof_m_min1,outside_70_criteria,828323362895290240,2026-04-01T13:48:13.711290240,imap_idex_l1b_sci-10days_20260331_v016.cdf,5,1,0.0411970382558613,0,0
replace_saturated_h_width_with_matched_tof_m_min1,outside_70_criteria,828323661629609856,2026-04-01T13:53:12.445609856,imap_idex_l1b_sci-10days_20260331_v016.cdf,6,1,0.0354197485207099,0,0
replace_saturated_h_width_with_matched_tof_m_min1,outside_70_criteria,828325223583627648,2026-04-01T14:19:14.399627648,imap_idex_l1b_sci-10days_20260331_v016.cdf,8,1,0.0308601563920712,0,0
replace_saturated_h_width_with_matched_tof_m_min1,outside_70_criteria,828325583093314304,2026-04-01T14:25:13.909314304,imap_idex_l1b_sci-10days_20260331_v016.cdf,9,1,0.0348211988680207,0,0
replace_saturated_h_width_with_matched_tof_m_min1,outside_70_criteria,828339101007168896,2026-04-01T18:10:31.823168896,imap_idex_l1b_sci-10days_20260331_v016.cdf,10,1,0.0262095047809327,0,0
replace_saturated_h_width_with_matched_tof_m_min1,outside_70_criteria,828349090039142912,2026-04-01T20:57:00.855142912,imap_idex_l1b_sci-10days_20260331_v016.cdf,11,1,0.0421245421245411,0,0
replace_saturated_h_width_with_matched_tof_m_min1,outside_70_criteria,828351099434731648,2026-04-01T21:30:30.250731648,imap_idex_l1b_sci-10days_20260331_v016.cdf,12,1,0.0233516483516483,0,0
replace_saturated_h_width_with_matched_tof_m_min1,outside_70_criteria,828353121357009408,2026-04-01T22:04:12.173009408,imap_idex_l1b_sci-10days_20260331_v016.cdf,13,1,0.0246579142011837,0,0
replace_saturated_h_width_with_matched_tof_m_min1,outside_70_criteria,828358713176235776,2026-04-01T23:37:23.992235776,imap_idex_l1b_sci-10days_20260331_v016.cdf,14,1,0.0260842880523737,0,0
