event_list_time,event_type,dust_category,event_list_cdf_file,summary_epoch_utc,summary_epoch_tt2000,summary_source_file,summary_record_index,abs_delta_seconds,matched_within_1s
5-Mar-2026 13:10:21,Triggered,Dust,imap_idex_l1b_sci-10days_20260301_v002.cdf,2026-03-05T13:10:21.237736960,825988290421736960,imap_idex_l1b_sci-10days_20260301_v003.cdf,16,0.237736,True
11-Mar-2026 22:00:17,Triggered,Dust,imap_idex_l1b_sci-10days_20260311_v002.cdf,2026-03-11T22:00:17.313041664,826538486497041664,imap_idex_l1b_sci-10days_20260311_v003.cdf,11,0.313041,True
13-Mar-2026 12:48:40,Triggered,Dust,imap_idex_l1b_sci-10days_20260311_v002.cdf,2026-03-13T12:48:39.706464768,826678188890464768,imap_idex_l1b_sci-10days_20260311_v003.cdf,12,0.293535,True
18-Mar-2026 20:54:15,Triggered,Dust,imap_idex_l1b_sci-10days_20260311_v002.cdf,2026-03-18T20:54:15.110691456,827139324294691456,imap_idex_l1b_sci-10days_20260311_v003.cdf,15,0.110691,True
19-Mar-2026 11:44:59,Triggered,Dust,imap_idex_l1b_sci-10days_20260311_v002.cdf,2026-03-19T11:44:59.333492352,827192768517492352,imap_idex_l1b_sci-10days_20260311_v003.cdf,26,0.333492,True
21-Mar-2026 3:32:18,Triggered,Dust,imap_idex_l1b_sci-10days_20260321_v003.cdf,2026-03-21T03:32:18.203021184,827336007387021184,imap_idex_l1b_sci-10days_20260321_v016.cdf,0,0.203021,True
1-Apr-2026 8:18:26,Triggered,Dust,imap_idex_l1b_sci-10days_20260331_v005.cdf,2026-04-01T08:18:25.612105088,828303574796105088,imap_idex_l1b_sci-10days_20260331_v016.cdf,3,0.387894,True
1-Apr-2026 14:00:05,Triggered,Dust,imap_idex_l1b_sci-10days_20260331_v005.cdf,2026-04-01T14:00:04.707770240,828324073891770240,imap_idex_l1b_sci-10days_20260331_v016.cdf,7,0.292229,True
3-Apr-2026 4:40:19,Triggered,Dust,imap_idex_l1b_sci-10days_20260331_v005.cdf,2026-04-03T04:40:18.975953536,828463288159953536,imap_idex_l1b_sci-10days_20260331_v016.cdf,198,0.024046,True
5-Apr-2026 12:10:34,Triggered,Dust,imap_idex_l1b_sci-10days_20260331_v005.cdf,2026-04-05T12:10:34.142867200,828663103326867200,imap_idex_l1b_sci-10days_20260331_v016.cdf,291,0.142867,True
7-Apr-2026 16:39:25,Triggered,Dust,imap_idex_l1b_sci-10days_20260331_v005.cdf,2026-04-07T16:39:25.106299008,828852034290299008,imap_idex_l1b_sci-10days_20260331_v016.cdf,300,0.106299,True
8-Apr-2026 3:23:16,Triggered,Dust,imap_idex_l1b_sci-10days_20260331_v005.cdf,2026-04-08T03:23:16.316094080,828890665500094080,imap_idex_l1b_sci-10days_20260331_v016.cdf,302,0.316094,True
13-Apr-2026 5:47:46,Triggered,Dust,imap_idex_l1b_sci-10days_20260410_v004.cdf,2026-04-13T05:47:45.668275712,829331334852275712,imap_idex_l1b_sci-10days_20260410_v016.cdf,12,0.331724,True
14-Apr-2026 20:11:04,Triggered,Dust,imap_idex_l1b_sci-10days_20260410_v004.cdf,2026-04-14T20:11:03.838534528,829469533022534528,imap_idex_l1b_sci-10days_20260410_v016.cdf,15,0.161465,True
18-Apr-2026 16:50:09,Triggered,Dust,imap_idex_l1b_sci-10days_20260410_v004.cdf,2026-04-18T16:50:08.653208960,829803077837208960,imap_idex_l1b_sci-10days_20260410_v016.cdf,18,0.346791,True
19-Apr-2026 15:03:44,Triggered,Dust,imap_idex_l1b_sci-10days_20260410_v004.cdf,2026-04-19T15:03:43.922083456,829883093106083456,imap_idex_l1b_sci-10days_20260410_v016.cdf,24,0.077916,True
25-Apr-2026 9:28:58,Triggered,Dust,imap_idex_l1b_sci-10days_20260420_v004.cdf,2026-04-25T09:28:57.538152448,830381406722152448,imap_idex_l1b_sci-10days_20260420_v016.cdf,12,0.461847,True
28-Apr-2026 21:06:39,Triggered,Dust,imap_idex_l1b_sci-10days_20260420_v004.cdf,2026-04-28T21:06:38.585253760,830682467769253760,imap_idex_l1b_sci-10days_20260420_v016.cdf,32,0.414746,True
3-May-2026 9:58:38,Triggered,Dust,imap_idex_l1b_sci-10days_20260430_v001.cdf,2026-05-03T09:58:37.613275136,831074386797275136,imap_idex_l1b_sci-10days_20260430_v016.cdf,7,0.386724,True
3-May-2026 13:46:01,Triggered,Dust,imap_idex_l1b_sci-10days_20260430_v001.cdf,2026-05-03T13:46:00.622524928,831088029806524928,imap_idex_l1b_sci-10days_20260430_v016.cdf,8,0.377475,True
4-May-2026 10:43:29,Triggered,Dust,imap_idex_l1b_sci-10days_20260430_v001.cdf,2026-05-04T10:43:29.427231744,831163478611231744,imap_idex_l1b_sci-10days_20260430_v016.cdf,10,0.427231,True
10-May-2026 1:57:15,Triggered,Dust,imap_idex_l1b_sci-10days_20260510_v001.cdf,2026-05-10T01:57:15.476984320,831650304660984320,imap_idex_l1b_sci-10days_20260510_v016.cdf,0,0.476984,True
10-May-2026 7:49:21,Triggered,Dust,imap_idex_l1b_sci-10days_20260510_v001.cdf,2026-05-10T07:49:20.670921600,831671429854921600,imap_idex_l1b_sci-10days_20260510_v016.cdf,2,0.329078,True
10-May-2026 19:11:45,Triggered,Dust,imap_idex_l1b_sci-10days_20260510_v001.cdf,2026-05-10T19:11:45.260924928,831712374444924928,imap_idex_l1b_sci-10days_20260510_v016.cdf,3,0.260924,True
18-May-2026 13:54:29,Triggered,Dust,imap_idex_l1b_sci-10days_20260510_v001.cdf,2026-05-18T13:54:28.938042880,832384538122042880,imap_idex_l1b_sci-10days_20260510_v016.cdf,25,0.061957,True
18-May-2026 20:16:21,Triggered,Dust,imap_idex_l1b_sci-10days_20260510_v001.cdf,2026-05-18T20:16:20.528950784,832407449712950784,imap_idex_l1b_sci-10days_20260510_v016.cdf,26,0.471049,True
19-May-2026 9:17:07,Triggered,Dust,imap_idex_l1b_sci-10days_20260510_v001.cdf,2026-05-19T09:17:07.137968768,832454296321968768,imap_idex_l1b_sci-10days_20260510_v016.cdf,27,0.137968,True
20-May-2026 11:07:27,Triggered,Dust,imap_idex_l1b_sci-10days_20260520_v001.cdf,2026-05-20T11:07:27.172169216,832547316356169216,imap_idex_l1b_sci-10days_20260520_v016.cdf,0,0.172169,True
20-May-2026 15:04:51,Triggered,Dust,imap_idex_l1b_sci-10days_20260520_v001.cdf,2026-05-20T15:04:50.505043584,832561559689043584,imap_idex_l1b_sci-10days_20260520_v016.cdf,1,0.494956,True
21-May-2026 12:45:25,Triggered,Dust,imap_idex_l1b_sci-10days_20260520_v001.cdf,2026-05-21T12:45:24.952577152,832639594136577152,imap_idex_l1b_sci-10days_20260520_v016.cdf,3,0.047422,True
31-May-2026 14:02:41,Triggered,Dust,imap_idex_l1b_sci-10days_20260530_v015.cdf,2026-05-31T14:02:41.255167232,833508230439167232,imap_idex_l1b_sci-10days_20260530_v022.cdf,12,0.255167,True
6-Jun-2026 21:35:06,Triggered,Dust,imap_idex_l1b_sci-10days_20260530_v015.cdf,2026-06-06T21:35:05.966649088,834053775150649088,imap_idex_l1b_sci-10days_20260530_v022.cdf,34,0.03335,True
9-Jun-2026 21:39:46,Triggered,Dust,imap_idex_l1b_sci-10days_20260609_v008.cdf,2026-06-09T21:39:45.775081472,834313254959081472,imap_idex_l1b_sci-10days_20260609_v011.cdf,5,0.224918,True
13-Jun-2026 12:36:18,Triggered,Dust,imap_idex_l1b_sci-10days_20260609_v008.cdf,2026-06-13T12:36:17.816502272,834626247000502272,imap_idex_l1b_sci-10days_20260609_v011.cdf,12,0.183497,True
17-Jun-2026 6:32:36,Triggered,Dust,imap_idex_l1b_sci-10days_20260609_v008.cdf,2026-06-17T06:32:35.892223872,834950025076223872,imap_idex_l1b_sci-10days_20260609_v011.cdf,29,0.107776,True
21-Jun-2026 13:47:23,Triggered,Dust,imap_idex_l1b_sci-10days_20260619_v014.cdf,2026-06-21T13:47:23.168210048,835321712352210048,imap_idex_l1b_sci-10days_20260619_v015.cdf,5,0.16821,True
