source_file,record_index,epoch_tt2000,epoch_utc,channel,cdf_variable,baseline,baseline_sigma,baseline_samples,peak_count
imap_idex_l1b_sci-10days_20250927_v001.0004.cdf,11,812609199316992768,2025-10-01T16:45:30.132992768,tof_low,TOF_Low,263.682,1.5241127999999453,781,0
imap_idex_l1b_sci-10days_20250927_v001.0004.cdf,12,812609205316907392,2025-10-01T16:45:36.132907392,tof_high,TOF_High,0.14767899999999998,0.000856942800000034,781,2
imap_idex_l1b_sci-10days_20250927_v001.0004.cdf,12,812609205316907392,2025-10-01T16:45:36.132907392,tof_mid,TOF_Mid,5.7969,0.01675337999999914,781,1
imap_idex_l1b_sci-10days_20250927_v001.0004.cdf,12,812609205316907392,2025-10-01T16:45:36.132907392,tof_low,TOF_Low,263.682,1.5241127999999453,781,0
imap_idex_l1b_sci-10days_20250927_v001.0004.cdf,13,812609295315705216,2025-10-01T16:47:06.131705216,tof_high,TOF_High,0.14767899999999998,0.000856942800000034,781,2
imap_idex_l1b_sci-10days_20250927_v001.0004.cdf,13,812609295315705216,2025-10-01T16:47:06.131705216,tof_mid,TOF_Mid,5.7969,0.01675337999999914,781,1
imap_idex_l1b_sci-10days_20250927_v001.0004.cdf,13,812609295315705216,2025-10-01T16:47:06.131705216,tof_low,TOF_Low,263.682,1.5241127999999453,781,0
imap_idex_l1b_sci-10days_20250927_v001.0004.cdf,14,812609301315619712,2025-10-01T16:47:12.131619712,tof_high,TOF_High,0.14767899999999998,0.000856942800000034,781,2
imap_idex_l1b_sci-10days_20250927_v001.0004.cdf,14,812609301315619712,2025-10-01T16:47:12.131619712,tof_mid,TOF_Mid,5.7969,0.01675337999999914,781,1
imap_idex_l1b_sci-10days_20250927_v001.0004.cdf,14,812609301315619712,2025-10-01T16:47:12.131619712,tof_low,TOF_Low,263.682,1.5241127999999453,781,0
imap_idex_l1b_sci-10days_20250927_v001.0004.cdf,15,812609307315554432,2025-10-01T16:47:18.131554432,tof_high,TOF_High,0.14767899999999998,0.000856942800000034,781,2
imap_idex_l1b_sci-10days_20250927_v001.0004.cdf,15,812609307315554432,2025-10-01T16:47:18.131554432,tof_mid,TOF_Mid,5.7969,0.01675337999999914,781,1
imap_idex_l1b_sci-10days_20250927_v001.0004.cdf,15,812609307315554432,2025-10-01T16:47:18.131554432,tof_low,TOF_Low,263.682,1.5241127999999453,781,0
