epoch_tt2000,qpeak_count,max_width_us,channels,epoch_utc,source_file,record_index,event_time,date
828427124954051456,1,0.0400349650349645,tof_high,2026-04-02T18:37:35.770051456,imap_idex_l1b_sci-10days_20260331_v001.0017.cdf,126,2026-04-02 18:37:35.770051456,2026-04-02
828428357099397504,1,0.0417378917378908,tof_high,2026-04-02T18:58:07.915397504,imap_idex_l1b_sci-10days_20260331_v001.0017.cdf,127,2026-04-02 18:58:07.915397504,2026-04-02
828432516168672640,1,0.0412644036125815,tof_high,2026-04-02T20:07:26.984672640,imap_idex_l1b_sci-10days_20260331_v001.0017.cdf,135,2026-04-02 20:07:26.984672640,2026-04-02
828433707311074560,1,0.0435096153846162,tof_high,2026-04-02T20:27:18.127074560,imap_idex_l1b_sci-10days_20260331_v001.0017.cdf,137,2026-04-02 20:27:18.127074560,2026-04-02
828437494508093952,1,0.0456263736263735,tof_high,2026-04-02T21:30:25.324093952,imap_idex_l1b_sci-10days_20260331_v001.0017.cdf,144,2026-04-02 21:30:25.324093952,2026-04-02
828439601709237376,1,0.040744810744811,tof_high,2026-04-02T22:05:32.525237376,imap_idex_l1b_sci-10days_20260331_v001.0017.cdf,152,2026-04-02 22:05:32.525237376,2026-04-02
828441095963774976,1,0.0418934911242606,tof_high,2026-04-02T22:30:26.779774976,imap_idex_l1b_sci-10days_20260331_v001.0017.cdf,155,2026-04-02 22:30:26.779774976,2026-04-02
828443359341762304,1,0.0516403885969101,tof_high,2026-04-02T23:08:10.157762304,imap_idex_l1b_sci-10days_20260331_v001.0017.cdf,160,2026-04-02 23:08:10.157762304,2026-04-02
828444577826260480,1,0.0420146520146526,tof_high,2026-04-02T23:28:28.642260480,imap_idex_l1b_sci-10days_20260331_v001.0017.cdf,161,2026-04-02 23:28:28.642260480,2026-04-02
828446349342436480,1,0.0400349650349654,tof_high,2026-04-02T23:58:00.158436480,imap_idex_l1b_sci-10days_20260331_v001.0017.cdf,163,2026-04-02 23:58:00.158436480,2026-04-02
828449240979516288,1,0.0414226398601394,tof_high,2026-04-03T00:46:11.795516288,imap_idex_l1b_sci-10days_20260331_v001.0017.cdf,168,2026-04-03 00:46:11.795516288,2026-04-03
828453031118572928,1,0.0412201591511941,tof_high,2026-04-03T01:49:21.934572928,imap_idex_l1b_sci-10days_20260331_v001.0017.cdf,174,2026-04-03 01:49:21.934572928,2026-04-03
828457703799720448,1,0.0462987736900778,tof_high,2026-04-03T03:07:14.615720448,imap_idex_l1b_sci-10days_20260331_v001.0017.cdf,184,2026-04-03 03:07:14.615720448,2026-04-03
828461739738702848,1,0.0415610859728515,tof_high,2026-04-03T04:14:30.554702848,imap_idex_l1b_sci-10days_20260331_v001.0017.cdf,192,2026-04-03 04:14:30.554702848,2026-04-03
828462106895122944,1,0.0463447398190044,tof_high,2026-04-03T04:20:37.711122944,imap_idex_l1b_sci-10days_20260331_v001.0017.cdf,193,2026-04-03 04:20:37.711122944,2026-04-03
828471828670009984,1,0.0417974444730292,tof_high,2026-04-03T07:02:39.486009984,imap_idex_l1b_sci-10days_20260331_v001.0017.cdf,209,2026-04-03 07:02:39.486009984,2026-04-03
828474667902595456,1,0.0417864187094957,tof_high,2026-04-03T07:49:58.718595456,imap_idex_l1b_sci-10days_20260331_v001.0017.cdf,213,2026-04-03 07:49:58.718595456,2026-04-03
828475258501060608,1,0.0519365250134474,tof_high,2026-04-03T07:59:49.317060608,imap_idex_l1b_sci-10days_20260331_v001.0017.cdf,214,2026-04-03 07:59:49.317060608,2026-04-03
828477274504943616,1,0.0425160256410249,tof_high,2026-04-03T08:33:25.320943616,imap_idex_l1b_sci-10days_20260331_v001.0017.cdf,216,2026-04-03 08:33:25.320943616,2026-04-03
828484647855717248,1,0.0443496503496499,tof_high,2026-04-03T10:36:18.671717248,imap_idex_l1b_sci-10days_20260331_v001.0017.cdf,230,2026-04-03 10:36:18.671717248,2026-04-03
828489949426256768,1,0.042481203007519,tof_high,2026-04-03T12:04:40.242256768,imap_idex_l1b_sci-10days_20260331_v001.0017.cdf,238,2026-04-03 12:04:40.242256768,2026-04-03
828490051941207424,1,0.0409146942800793,tof_high,2026-04-03T12:06:22.757207424,imap_idex_l1b_sci-10days_20260331_v001.0017.cdf,239,2026-04-03 12:06:22.757207424,2026-04-03
828499741734042240,1,0.0400755494505496,tof_high,2026-04-03T14:47:52.550042240,imap_idex_l1b_sci-10days_20260331_v001.0017.cdf,244,2026-04-03 14:47:52.550042240,2026-04-03
828504313473737856,1,0.0441108570916271,tof_high,2026-04-03T16:04:04.289737856,imap_idex_l1b_sci-10days_20260331_v001.0017.cdf,247,2026-04-03 16:04:04.289737856,2026-04-03
828511263088762880,1,0.0419945054945048,tof_high,2026-04-03T17:59:53.904762880,imap_idex_l1b_sci-10days_20260331_v001.0017.cdf,253,2026-04-03 17:59:53.904762880,2026-04-03
828513239293401344,1,0.0430172413793102,tof_high,2026-04-03T18:32:50.109401344,imap_idex_l1b_sci-10days_20260331_v001.0017.cdf,256,2026-04-03 18:32:50.109401344,2026-04-03
828531287061838976,1,0.0509121313469148,tof_high,2026-04-03T23:33:37.877838976,imap_idex_l1b_sci-10days_20260331_v001.0017.cdf,260,2026-04-03 23:33:37.877838976,2026-04-03
