date,l1b_event_count,single_ge20ns_count,single_ge40ns_count,single_ge20ns_fraction,single_ge40ns_fraction,omni_hour_count,proton_density_cm3,flow_speed_km_s,flow_pressure_npa,scalar_b_nt,bz_gsm_nt_mean,bz_gsm_nt_min,proton_flux_cm2_s
2025-09-30,0.0,0.0,0.0,0.0,0.0,24,13.704166666666666,510.0833333333333,6.027916666666666,12.904166666666667,-3.8249999999999997,-16.1,635934583.3333334
2025-10-01,21.0,0.0,0.0,0.0,0.0,24,2.9499999999999997,711.9583333333334,2.8658333333333332,7.75,-1.2833333333333334,-4.8,209270000.0
2025-10-02,0.0,0.0,0.0,0.0,0.0,24,1.8708333333333333,732.75,1.9329166666666666,6.429166666666667,-1.6083333333333334,-6.7,136905416.66666666
2025-10-03,0.0,0.0,0.0,0.0,0.0,24,1.8083333333333333,690.125,1.6275000000000002,5.016666666666667,-1.4583333333333333,-4.8,124285416.66666667
2025-10-04,0.0,0.0,0.0,0.0,0.0,24,1.6624999999999999,603.9166666666666,1.21125,4.9875,-1.4666666666666666,-4.0,100890833.33333333
2025-10-05,0.0,0.0,0.0,0.0,0.0,24,1.8083333333333333,478.5,0.7879166666666667,3.9125,-0.43333333333333335,-2.8,84032500.0
2025-10-06,0.0,0.0,0.0,0.0,0.0,24,2.704166666666667,409.2083333333333,0.9141666666666667,5.941666666666666,0.15833333333333335,-4.0,110962083.33333333
2025-10-07,0.0,0.0,0.0,0.0,0.0,24,2.404166666666667,413.8333333333333,0.8145833333333333,8.608333333333333,-3.7416666666666667,-7.6,99272083.33333333
2025-10-08,0.0,0.0,0.0,0.0,0.0,24,5.754166666666666,378.0833333333333,1.6183333333333334,8.120833333333334,-3.125,-5.4,215211666.66666666
2025-10-09,0.0,0.0,0.0,0.0,0.0,24,8.620833333333334,348.0,2.277083333333333,8.983333333333333,2.8625000000000003,-5.9,302934583.3333333
2025-10-10,0.0,0.0,0.0,0.0,0.0,24,7.2250000000000005,332.0,1.7575,8.108333333333333,-1.4375,-3.3,240792500.0
2025-10-11,0.0,0.0,0.0,0.0,0.0,24,14.466666666666667,400.4583333333333,4.615833333333334,10.725,-0.625,-5.6,575246666.6666666
2025-10-12,0.0,0.0,0.0,0.0,0.0,24,4.704166666666667,706.8333333333334,4.725416666666667,9.5625,1.1166666666666667,-2.2,329046666.6666667
2025-10-13,0.0,0.0,0.0,0.0,0.0,24,2.65,687.0833333333334,2.4741666666666666,5.8374999999999995,0.9375,-1.1,182553333.33333334
2025-10-14,0.0,0.0,0.0,0.0,0.0,24,3.0083333333333333,609.5,2.2245833333333334,4.579166666666667,1.3333333333333333,-2.2,180724583.33333334
2025-10-15,0.0,0.0,0.0,0.0,0.0,24,3.375,519.875,1.8533333333333333,3.6625,0.13749999999999998,-3.7,175411666.66666666
2025-10-16,0.0,0.0,0.0,0.0,0.0,24,6.283333333333334,428.6666666666667,2.2879166666666664,3.6125000000000003,0.6041666666666666,-2.2,267612083.33333334
2025-10-17,0.0,0.0,0.0,0.0,0.0,24,25.854166666666668,390.5833333333333,7.5304166666666665,7.325,1.3375000000000001,-3.3,1011326250.0
