source_file,record_index,epoch_tt2000,epoch_utc,quicklook_classification,selection_source,l2a_source_file,l2a_record_index,l2a_target_low_impact_charge,l2a_target_high_impact_charge,l2a_ion_grid_impact_charge,l2a_target_low_chi_squared,l2a_target_high_chi_squared,l2a_ion_grid_chi_squared,l2a_target_low_reduced_chi_squared,l2a_target_high_reduced_chi_squared,l2a_ion_grid_reduced_chi_squared,l2a_tof_snr,seconds_since_previous_pulser,test_id,injection_index,test_start_utc,l2a_inferred_injection_level,pulser_like_l2a_charge,injection_level,injection_level_source,injection_repeat_index,test_event_count
imap_idex_l1b_sci-10days_20250927_v003.cdf,12,812609205316907392,2025-10-01T16:45:36.132907392,Science,event_list,imap_idex_l2a_sci-10days_20250927_v003.cdf,12,229.91750121134464,244.13729122563268,0.8660651559857635,40275.791306198116,309.03335625078387,0.006398387133799588,79.43943058421719,0.6095332470429662,1.2620092966074137e-05,,5.999914624,1,12,2025-10-01 16:41:49.136114,3.0,True,3,l2a_ion_grid_charge,4,20
imap_idex_l1b_sci-10days_20250927_v003.cdf,13,812609295315705216,2025-10-01T16:47:06.131705216,Science,event_list,imap_idex_l2a_sci-10days_20250927_v003.cdf,13,309.70184972878997,324.0068365411834,1.1528411999128836,44077.665859061955,440.9344315750005,0.008784844100650053,86.93819696067447,0.8696931589250503,1.732710867978314e-05,,89.998797824,1,13,2025-10-01 16:41:49.136114,4.0,True,4,l2a_ion_grid_charge,1,20
imap_idex_l1b_sci-10days_20250927_v003.cdf,14,812609301315619712,2025-10-01T16:47:12.131619712,Science,event_list,imap_idex_l2a_sci-10days_20250927_v003.cdf,14,307.1747032052772,324.417053160757,1.1532629081194616,39295.03344592762,497.4791360579202,0.009645655764910544,77.50499693476849,0.9812211756566473,1.9024962060967542e-05,,5.999914496,1,14,2025-10-01 16:41:49.136114,4.0,True,4,l2a_ion_grid_charge,2,20
imap_idex_l1b_sci-10days_20250927_v003.cdf,15,812609307315554432,2025-10-01T16:47:18.131554432,Science,event_list,imap_idex_l2a_sci-10days_20250927_v003.cdf,15,305.52597080589476,324.36259823220934,1.1531434451835425,45131.41584613436,498.7107214086608,0.0095116777194873,89.01659930204016,0.9836503380841436,1.8760705561118933e-05,,5.99993472,1,15,2025-10-01 16:41:49.136114,4.0,True,4,l2a_ion_grid_charge,3,20
imap_idex_l1b_sci-10days_20250927_v003.cdf,16,812609313315468800,2025-10-01T16:47:24.131468800,Science,event_list,imap_idex_l2a_sci-10days_20250927_v003.cdf,16,310.69449801940937,324.3914520095393,1.1533510876179927,43762.41638721287,498.885912563422,0.009427441910669031,86.31640313059738,0.9839958827680907,1.8594559981595723e-05,,5.999914368,1,16,2025-10-01 16:41:49.136114,4.0,True,4,l2a_ion_grid_charge,4,20
imap_idex_l1b_sci-10days_20250927_v003.cdf,17,812609392314456832,2025-10-01T16:48:43.130456832,Science,event_list,imap_idex_l2a_sci-10days_20250927_v003.cdf,17,735.5841605093192,368.1676297575809,1.4394439338168072,36837.31556305854,184279.6746910337,0.011829565472611428,72.65742714607207,363.4707587594353,2.3332476277340093e-05,,78.998988032,1,17,2025-10-01 16:41:49.136114,5.0,True,5,l2a_ion_grid_charge,1,20
imap_idex_l1b_sci-10days_20250927_v003.cdf,18,812609398314371328,2025-10-01T16:48:49.130371328,Science,event_list,imap_idex_l2a_sci-10days_20250927_v003.cdf,18,736.8022734932529,368.80969169840375,1.4400636967934388,44310.306494550015,190628.09606260218,0.012873247771780786,87.39705422988169,375.992299926237,2.539102124611595e-05,,5.999914496,1,18,2025-10-01 16:41:49.136114,5.0,True,5,l2a_ion_grid_charge,2,20
imap_idex_l1b_sci-10days_20250927_v003.cdf,19,812609404314285696,2025-10-01T16:48:55.130285696,Science,event_list,imap_idex_l2a_sci-10days_20250927_v003.cdf,19,734.9231519126115,368.8822418888532,1.4402883140942997,44342.304658677436,191196.6182003101,0.012951769335704329,87.46016697963991,377.11364536550315,2.5545896125649563e-05,,5.999914368,1,19,2025-10-01 16:41:49.136114,5.0,True,5,l2a_ion_grid_charge,3,20
imap_idex_l1b_sci-10days_20250927_v003.cdf,20,812609410314220416,2025-10-01T16:49:01.130220416,Science,event_list,imap_idex_l2a_sci-10days_20250927_v003.cdf,20,735.437710297072,368.9375544206563,1.4401711462362117,41604.88424769425,191602.18182452768,0.012477838415955915,82.06091567592554,377.9135736183978,2.461112113600772e-05,,5.99993472,1,20,2025-10-01 16:41:49.136114,5.0,True,5,l2a_ion_grid_charge,4,20
imap_idex_l1b_sci-10days_20251027_v003.cdf,1,815539406675349504,2025-11-04T14:42:17.491349504,Science,event_list,imap_idex_l2a_sci-10days_20251027_v003.cdf,1,75.75107593665962,81.06836253316237,0.28399284373671896,39965.126191331496,52.670626700599335,0.0009419804354058958,78.82667887836587,0.10388683767376594,1.8579495767374672e-06,,2929996.361129088,2,1,2025-11-04 14:42:17.491349,1.0,True,1,l2a_ion_grid_charge,1,25
