source_file,record_index,epoch_tt2000,epoch_utc,channel,cdf_variable,baseline_method,baseline,robust_sigma,mean,std,sample_count
imap_idex_l1b_sci-10days_20251106_v003.cdf,22,815734746564904064,2025-11-06T20:57:57.380904064,TOF L,TOF_Low,mean,263.84575943338626,1.281323064061496,263.84575943338626,0.9279405645317058,8189
imap_idex_l1b_sci-10days_20251106_v003.cdf,22,815734746564904064,2025-11-06T20:57:57.380904064,Target H,Target_High,mean,333.2283496093751,0.15811986914057105,333.2283496093751,0.11700345898267567,512
imap_idex_l1b_sci-10days_20251106_v003.cdf,22,815734746564904064,2025-11-06T20:57:57.380904064,Target L,Target_Low,mean,32605.707031250007,8.14387546874029,32605.707031250007,9.423181883605732,512
imap_idex_l1b_sci-10days_20251106_v003.cdf,22,815734746564904064,2025-11-06T20:57:57.380904064,Ion Grid,Ion_Grid,mean,1.5098049218749996,0.0001468932281258008,1.5098049218749996,0.00047200616735537394,512
imap_idex_l1b_sci-10days_20251106_v003.cdf,23,815734931563056768,2025-11-06T21:01:02.379056768,TOF H,TOF_High,mean,0.1477544173891806,0.0007451289788008372,0.1477544173891806,0.0007658771428525896,8189
imap_idex_l1b_sci-10days_20251106_v003.cdf,23,815734931563056768,2025-11-06T21:01:02.379056768,TOF M,TOF_Mid,mean,5.791080962266454,0.008627305343755094,5.791080962266454,0.011578359147108244,8189
imap_idex_l1b_sci-10days_20251106_v003.cdf,23,815734931563056768,2025-11-06T21:01:02.379056768,TOF L,TOF_Low,mean,263.8222845280254,1.316126958749481,263.8222845280254,0.920842205908746,8189
imap_idex_l1b_sci-10days_20251106_v003.cdf,23,815734931563056768,2025-11-06T21:01:02.379056768,Target H,Target_High,mean,333.19874218750005,0.03964796718752899,333.19874218750005,0.119289219578786,512
imap_idex_l1b_sci-10days_20251106_v003.cdf,23,815734931563056768,2025-11-06T21:01:02.379056768,Target L,Target_Low,mean,32604.318359375007,10.20272039061529,32604.318359375007,9.312733577384334,512
imap_idex_l1b_sci-10days_20251106_v003.cdf,23,815734931563056768,2025-11-06T21:01:02.379056768,Ion Grid,Ion_Grid,mean,1.5098981718749998,8.640778125569958e-06,1.5098981718749998,0.00047085334947199553,512
