epoch_utc,source_file,record_index,baseline,robust_sigma,std,mean,mad,exact_median_count,exact_median_fraction,one_lsb_deviation_count,one_lsb_deviation_fraction,sample_count,unique_value_count,min_value,max_value
2026-02-07T00:03:19.304650880,imap_idex_l1b_sci-10days_20260130_v003.cdf,26,333.172,0.2416638000000161,0.1191731875167183,333.238537109375,0.16300000000001091,222,0.43359375,267,0.521484375,512,5,332.846,333.498
2026-02-23T00:03:18.876205568,imap_idex_l1b_sci-10days_20260219_v003.cdf,12,333.172,0.2416638000000161,0.1196857663818408,333.239173828125,0.16300000000001091,232,0.453125,254,0.49609375,512,6,332.846,333.661
2026-03-11T00:03:04.944945152,imap_idex_l1b_sci-10days_20260311_v003.cdf,8,333.172,0.2416638000000161,0.1280766531634168,333.201607421875,0.16300000000001091,248,0.484375,241,0.470703125,512,5,332.846,333.498
2026-03-11T00:03:16.944854656,imap_idex_l1b_sci-10days_20260311_v003.cdf,9,333.172,0.2416638000000161,0.1177568251136248,333.21911718750005,0.16300000000001091,250,0.48828125,246,0.48046875,512,5,332.846,333.498
2026-03-19T00:01:48.916431104,imap_idex_l1b_sci-10days_20260311_v003.cdf,16,333.172,0.2416638000000161,0.1244125464579755,333.13920898437505,0.16300000000001091,253,0.494140625,239,0.466796875,512,5,332.846,333.498
2026-04-04T00:01:47.071947648,imap_idex_l1b_sci-10days_20260331_v016.cdf,261,333.172,0.2416638000000161,0.1158088840634531,333.21434179687503,0.16300000000001091,255,0.498046875,245,0.478515625,512,5,332.846,333.498
2026-04-12T00:01:46.527690368,imap_idex_l1b_sci-10days_20260410_v016.cdf,1,333.172,0.2416638000000161,0.1209995994718946,333.17868554687504,0.16300000000001091,253,0.494140625,251,0.490234375,512,5,332.846,333.498
2026-04-12T00:02:50.527254656,imap_idex_l1b_sci-10days_20260410_v016.cdf,8,333.172,0.2416638000000161,0.1243310547603775,333.11756054687504,0.16300000000001091,255,0.498046875,226,0.44140625,512,5,332.683,333.33500000000004
2026-04-28T00:01:45.490751360,imap_idex_l1b_sci-10days_20260420_v016.cdf,19,333.172,0.2416638000000161,0.1161688953461409,333.207974609375,0.16300000000001091,251,0.490234375,253,0.494140625,512,5,332.846,333.498
2026-04-28T00:03:01.490225536,imap_idex_l1b_sci-10days_20260420_v016.cdf,27,333.172,0.2416638000000161,0.1264520071157785,333.17868554687504,0.16300000000001091,254,0.49609375,241,0.470703125,512,5,332.846,333.498
2026-05-06T00:03:00.789074688,imap_idex_l1b_sci-10days_20260430_v016.cdf,21,333.172,0.2416638000000161,0.1384713241692626,333.18728125000007,0.16300000000001091,236,0.4609375,245,0.478515625,512,6,332.683,333.498
2026-05-14T00:03:12.053920896,imap_idex_l1b_sci-10days_20260510_v016.cdf,16,333.172,0.2416638000000161,0.1250333900564116,333.21625195312504,0.16300000000001091,239,0.466796875,251,0.490234375,512,5,332.846,333.498
2026-05-30T00:03:11.439680768,imap_idex_l1b_sci-10days_20260530_v022.cdf,9,333.172,0.2416638000000161,0.1228912548749922,333.241083984375,0.16300000000001091,216,0.421875,267,0.521484375,512,5,332.846,333.498
2026-06-23T00:01:41.903960960,imap_idex_l1b_sci-10days_20260619_v015.cdf,6,333.172,0.2416638000000161,0.1255079094571496,333.22612109375007,0.16300000000001091,251,0.490234375,228,0.4453125,512,5,332.846,333.498
2026-07-01T00:02:57.061664768,imap_idex_l1b_sci-10days_20260629_v011.cdf,10,333.172,0.2416638000000161,0.1250759395792126,333.18346093750006,0.16300000000001091,253,0.494140625,244,0.4765625,512,5,332.846,333.498
